"NPL pack ID";"Nordic"
"10010101128234";"174508"
"10010101128654";"004378"
"10010101128661";"004370"
"10010101128753";"004298"
"10010101130060";"181140"
"10010101130442";"011425"
"10010101130534";"014146"
"10010101130541";"014157"
"10010101130701";"011526"
"10010101130824";"002674"
"10010101130831";"002682"
"10010101131098";"017203"
"19500101100022";"036970"
"19501227100019";"038547"
"19530101100012";"135624"
"19580101100017";"576714"
"19580101100086";"026682"
"19581001100022";"174284"
"19590101100023";"185124"
"19590602100010";"046698"
"19590602100034";"046748"
"19591001100076";"169110"
"19591001100083";"169128"
"19601001100010";"056341"
"19601001100027";"056374"
"19610701100077";"162123"
"19610701100084";"162115"
"19610701100091";"162149"
"19610701100107";"025718"
"19640401100015";"441006"
"19641001100016";"402792"
"19660401100013";"400432"
"19660401100020";"400275"
"19660401100037";"400424"
"19670101100022";"402784"
"19670401100074";"173088"
"19680401100011";"191916"
"19681001100074";"400259"
"19681001100081";"400267"
"19690101100105";"400200"
"19710701100012";"589853"
"19720101100024";"025767"
"19720101100062";"021899"
"19720101100284";"030742"
"19721001100091";"148411"
"19721001100114";"405019"
"19730101100207";"407999"
"19730101100214";"407981"
"19730401100037";"124339"
"19730401100044";"037093"
"19730401100051";"036665"
"19730401100068";"037135"
"19730401100075";"036442"
"19730525100036";"121582"
"19731001100014";"061596"
"19740101100022";"409268"
"19740101100046";"148593"
"19740401100074";"590356"
"19741004100010";"412064"
"19741004100027";"464891"
"19741004100034";"448977"
"19750101100021";"123687"
"19750101100090";"144329"
"19750101100106";"414292"
"19751001100128";"147686"
"19751001100203";"595215"
"19760101100037";"417196"
"19760101100044";"061587"
"19760401100041";"085621"
"19760827100038";"074713"
"19761001100011";"083633"
"19770909100016";"047944"
"19780101100035";"006239"
"19780401100032";"590786"
"19780401100056";"024950"
"19780701100053";"557051"
"19781001100019";"007542"
"19781001100026";"010930"
"19781001100033";"070458"
"19781001100040";"011382"
"19781001100125";"429837"
"19790701100069";"117879"
"19800101100054";"123273"
"19800401100051";"551572"
"19800401100198";"499772"
"19801001100038";"074833"
