Nordic_number,Stockout_start,Stockout_end
004391,2020-10-06,2020-10-28
004458,2018-01-15,2018-01-26
004458,2018-05-23,2018-05-31
004458,2019-10-01,2019-10-24
004458,2020-01-15,2020-01-30
004458,2020-10-12,2020-12-04
004458,2020-12-08,2020-12-21
004502,2018-01-26,2018-03-27
004502,2018-04-11,2018-04-12
004502,2019-03-20,2019-03-20
004586,2020-09-18,2020-09-21
004612,2018-05-09,2018-05-24
004612,2018-10-10,2018-10-12
004612,2018-10-18,2018-10-18
004612,2020-05-29,2020-08-17
004612,2020-09-01,2020-09-01
004613,2018-01-25,2018-01-25
004613,2018-01-30,2018-03-26
004613,2018-07-17,2018-07-18
004613,2019-01-28,2019-02-04
004613,2019-02-12,2019-02-15
004613,2019-02-25,2019-03-01
004613,2019-04-11,2019-05-06
004613,2019-05-24,2019-05-31
004613,2019-07-03,2019-07-03
004613,2019-07-19,2019-07-30
004613,2019-09-16,2019-09-23
004613,2020-01-06,2020-01-13
004659,2018-11-26,2019-01-24
004676,2018-07-11,2018-07-16
004676,2018-12-06,2019-01-28
004676,2020-03-27,2020-04-15
004687,2019-07-29,2019-08-09
004767,2019-07-04,2021-01-06
004855,2020-05-13,2020-05-20
004855,2020-06-15,2020-06-15
004855,2020-06-23,2020-07-01
004880,2018-01-24,2018-01-26
004880,2018-06-08,2018-06-08
004888,2018-01-01,2018-09-25
004888,2018-10-01,2018-10-02
004888,2018-10-17,2018-10-19
004888,2019-06-11,2019-06-11
004888,2019-09-18,2019-10-18
004888,2020-01-29,2020-01-30
004888,2020-07-24,2020-07-29
004888,2020-08-10,2020-08-10
004888,2020-09-01,2020-09-01
004921,2018-07-23,2018-09-28
004921,2019-04-22,2020-01-16
004976,2018-05-17,2018-06-01
004976,2018-09-11,2018-09-18
004976,2018-09-25,2018-09-28
004976,2018-10-10,2018-10-10
004976,2020-01-06,2020-01-24
004976,2020-02-10,2020-02-18
004976,2020-02-20,2020-03-13
004976,2020-04-15,2020-04-15
005005,2020-10-28,2020-10-30
005028,2020-10-28,2020-10-30
005037,2020-10-16,2020-10-30
005039,2020-10-28,2020-10-30
005048,2018-01-01,2018-01-19
005066,2019-02-20,2019-02-21
005066,2020-01-07,2020-01-08
005070,2018-01-01,2018-02-23
005108,2018-04-09,2018-04-10
005108,2020-09-18,2020-09-21
005108,2020-09-23,2020-10-08
005108,2020-10-30,2020-10-30
005155,2019-02-13,2019-02-13
